,causal_text_w_pairs,corpus,doc_id,sent_id,eg_id,index,text,num_rs
0,"['ADILABAD : TRS condemns arrests March 11 , 2011 00:00 IST <ARG1>The arrest of a group of people from a district has been condemned by the TRS</ARG1> <ARG0>the million march foils</ARG0> .']",0,0,0,0,0,0,0
1,"['However , <ARG1>local villagers did not want to be searched</ARG1> , <ARG0>there was no hiding place for the militants</ARG0> .']",0,0,0,0,0,0,0
2,"['In 2009 , <ARG0>the capital experienced riots</ARG0> , Urumqui , and <SIG0>in their wake</SIG0> , <ARG1>many people were arrested and imprisoned</ARG1> .']",0,0,0,0,0,0,0
3,"['The 60 - page charge sheet , filed by National Investigation Agency(NIA) on Saturday before a special court in New Delhi , details <ARG0>the targets were attacked on the 26th of November 2008 by LeT terrorists</ARG0> that <ARG1>more than 160 people are dead</ARG1> .']",0,0,0,0,0,0,0
4,"['TREATMENT <ARG1>On Saturday, a group of people protested in theCape Flats</ARG1> <ARG0>there are plans for the victims to be accommodated</ARG0> , SABC radio news reported .']",0,0,0,0,0,0,0
5,['<ARG1>The teachers and students were back in action</ARG1> <ARG0>general teachers should not be appointed for Physical Education work</ARG0> .'],0,0,0,0,0,0,0
6,"[""<ARG1>In the mid-sixties, tens of thousands of women took to the streets for a march</ARG1> <ARG0>there is a protest</ARG0> against pass law legislation , which required non-white South Africans to carry a document on them to prove that they were allowed to enter `` white areas '' .""]",0,0,0,0,0,0,0
7,[],0,0,0,0,0,0,0
8,"['On this day in 1956 around 20,000 women participated in a national march to protest against pass law legislation , <ARG1>non- whites in South Africa were required to have the document with them</ARG1> <ARG0>they have to prove they entered the white area</ARG0> .']",0,0,0,0,0,0,0
9,"['RAMANATHAPURAM Man injured in clash March 29 , 2011 00:00 IST People block road traffic on NH 210 : <ARG1>There was an injured person</ARG1> when <ARG0>he and others were attacked by a bunch of men from the same party</ARG0> .']",0,0,0,0,0,0,0
10,"['<ARG1>We are boycotting all the courts</ARG1> <SIG0>till</SIG0> <ARG0>the district magistrate is looking into the demands</ARG0> , ” Samal said .']",0,0,0,0,0,0,0
11,"['Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : <ARG1>The workers of the party staged a protest against the chief minister of the state</ARG1> , <ARG0>there was a protest in the city about the installation of the mayor</ARG0> .']",0,0,0,0,0,0,0
