corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
cnc,train_01_5,0,0.0,cnc_train_01_5_0_0,"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .","<ARG1>Police opened fire</ARG1> , killing 34 striking workers and wounding 78 while <ARG0><SIG0>trying to</SIG0> disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16</ARG0> .",1,1,,1
cnc,train_01_5,0,1.0,cnc_train_01_5_0_1,"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .","<ARG0>Police opened fire</ARG0> , <ARG1><SIG0>killing</SIG0> 34 striking workers and <SIG1>wounding</SIG1> 78</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1,1,,1
cnc,train_01_7,0,0.0,cnc_train_01_7_0_0,Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,Lt-Col Andre Traut said <ARG1>the teenager laid the complaint at the Robertson police station</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers ' protest in the area</ARG0> .,1,1,,1
cnc,train_01_9,0,0.0,cnc_train_01_9_0_0,The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,<ARG0>The protests spread to 15 other towns</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two deaths and the destruction of property</ARG1> .,1,1,,1
cnc,train_01_10,0,0.0,cnc_train_01_10_0_0,The farmworkers ' strike resumed on Tuesday when their demands were not met .,<ARG1>The farmworkers ' strike resumed on Tuesday</ARG1> when <ARG0>their demands were not met</ARG0> .,1,1,,1
cnc,train_01_17,0,0.0,cnc_train_01_17_0_0,The attack on Karayogams had sparked sharp reactions from the CPM leaders .,<ARG0>The attack on Karayogams</ARG0> <SIG0>had sparked</SIG0> <ARG1>sharp reactions from the CPM leaders</ARG1> .,1,1,,1
cnc,train_01_20,0,0.0,cnc_train_01_20_0_0,"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .","`` <ARG0>I observed the attack on the police</ARG0> , <ARG1>I have no doubt about it</ARG1> , '' Modiba said during cross-examination .",1,1,,1
cnc,train_01_24,0,0.0,cnc_train_01_24_0_0,"On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead in a clash with police who were trying to disarm and disperse them .","<ARG1>On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead</ARG1> in <ARG0>a clash with police who were trying to disarm and disperse them</ARG0> .",1,1,,1
cnc,train_01_30,0,0.0,cnc_train_01_30_0_0,The lorry owners ’ association was staging a protest by blocking the road near Ambedkar Circle .,<ARG1>The lorry owners ’ association was staging a protest</ARG1> <SIG0>by</SIG0> <ARG0>blocking the road near Ambedkar Circle</ARG0> .,1,1,,1
cnc,train_01_43,0,0.0,cnc_train_01_43_0_0,"Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon .","<ARG0><SIG0>Protesting</SIG0> the unethical ban</ARG0> , <ARG1>hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon</ARG1> .",1,1,,1
cnc,train_01_43,0,1.0,cnc_train_01_43_0_1,"Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon .","Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and <ARG1>threatened to intensify it</ARG1> , <SIG0>if</SIG0> <ARG0>the matter is not resolved soon</ARG0> .",1,1,,1
cnc,train_01_47,0,0.0,cnc_train_01_47_0_0,"The strike began on September 9 , with Numsa demanding a double-digit percentage increase .","<ARG1>The strike began on September 9</ARG1> , <ARG0>with Numsa <SIG0>demanding</SIG0> a double-digit percentage increase</ARG0> .",1,1,,1
cnc,train_01_50,0,0.0,cnc_train_01_50_0_0,"Authorities yesterday said they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project , the subject of demonstrations by tens of thousands of Shifang residents .","Authorities yesterday said <ARG1>they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project</ARG1> , <ARG0>the subject of demonstrations by tens of thousands of Shifang residents</ARG0> .",1,1,,1
cnc,train_01_52,0,0.0,cnc_train_01_52_0_0,"Last summer , tens of thousands of people in the northeastern city of Dalian , Liaoning , marched to demand the relocation of a chemical plant .","<ARG1>Last summer , tens of thousands of people in the northeastern city of Dalian , Liaoning , marched</ARG1> <ARG0><SIG0>to</SIG0> demand the relocation of a chemical plant</ARG0> .",1,1,,1
cnc,train_01_53,0,0.0,cnc_train_01_53_0_0,"And in June 2007 , over 20,000 people rallied in Xiamen , a coastal city in Fujian province , to protest against plans to built a paraxylene chemical plant in the city .","And in June 2007 , <ARG1>over 20,000 people rallied in Xiamen , a coastal city in Fujian province</ARG1> , <ARG0><SIG0>to</SIG0> protest</ARG0> against plans to built a paraxylene chemical plant in the city .",1,1,,1
cnc,train_01_53,0,1.0,cnc_train_01_53_0_1,"And in June 2007 , over 20,000 people rallied in Xiamen , a coastal city in Fujian province , to protest against plans to built a paraxylene chemical plant in the city .","And in June 2007 , over 20,000 people rallied in Xiamen , a coastal city in Fujian province , <ARG1>to protest</ARG1> <ARG0>against plans to built a paraxylene chemical plant in the city</ARG0> .",1,1,,1
